Tahun,Populasi(01 Jan),Perubahan Alam,Tingkat pertumbuhan(%),Jumlah penduduk(31 December),Nama Negara
2024,282.353.644,2.258.829,"0,8%",284.612.473,Indonesia
2023,280.026.489,2.318.619,"0,828%",282.345.108,Indonesia
2022,277.634.568,2.382.105,"0,858%",280.016.673,Indonesia
2021,275.881.538,1.746.330,"0,633%",277.627.868,Indonesia
2020,273.748.193,2.124.286,"0,776%",275.872.479,Indonesia
2019,271.230.569,2.506.170,"0,924%",273.736.739,Indonesia
2018,268.673.124,2.544.334,"0,947%",271.217.458,Indonesia
2017,266.020.192,2.638.920,"0,992%",268.659.112,Indonesia
2016,263.234.644,2.771.861,"1,053%",266.006.505,Indonesia
2015,260.363.854,2.856.191,"1,097%",263.220.045,Indonesia
